Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Admission grade,Previous qualification (grade),Scholarship holder,Tuition fees up to date,Debtor,Age at enrollment,Gender,International,Previous qualification,Application mode,Daytime/evening attendance,Displaced,Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Marital status,Application order,Course,1st_sem_success_rate,2nd_sem_success_rate,academic_potential,age_group,Target
0,7.399999999999999,0,6.874999999999999,127.3,122.0,0,1,0,20,1,0,1,17,1,1,2,0,2,0,1,3,8378,0.0,0.0,124.65,17-20,Dropout
6,14.0,6,13.666666666666666,142.5,160.0,0,0,0,19,1,0,1,15,1,1,6,6,6,6,1,1,9254,1.0,1.0,151.25,17-20,Graduate
0,7.399999999999999,0,6.874999999999999,124.8,122.0,0,0,0,19,1,0,1,1,1,1,6,0,6,0,1,3,9070,0.0,0.0,123.4,17-20,Dropout
6,13.428571428571429,5,12.4,119.6,122.0,0,1,0,20,0,0,1,17,1,1,6,8,6,10,1,2,9773,1.0,0.8333333333333334,120.8,17-20,Graduate
5,12.333333333333334,6,13.0,141.5,102.5,0,1,0,34,0,0,1,39,0,0,6,9,6,6,2,1,8378,0.8333333333333334,1.0,122.0,30+,Graduate
5,11.857142857142858,5,11.5,114.8,133.1,0,1,1,34,1,0,19,39,0,0,5,10,5,16,2,1,9991,1.0,1.0,123.95,30+,Graduate
7,13.3,8,14.345,128.4,142.0,1,1,0,18,0,0,1,1,1,1,7,9,8,8,1,1,9500,1.0,1.0,135.2,17-20,Graduate
0,7.399999999999999,0,6.874999999999999,113.1,119.0,0,0,0,22,1,0,1,18,1,1,5,5,5,5,1,3,9254,0.0,0.0,116.05,21-25,Dropout
6,13.875,6,14.142857142857142,129.3,137.0,1,1,0,21,0,1,1,1,1,0,6,8,6,7,1,3,9238,1.0,1.0,133.15,21-25,Graduate
5,11.4,2,13.5,123.0,138.0,0,0,1,18,0,0,1,1,1,1,6,9,6,14,1,1,9238,0.8333333333333334,0.3333333333333333,130.5,17-20,Dropout
6,12.333333333333334,5,14.2,130.6,139.0,0,1,0,18,0,0,1,1,1,1,6,6,6,7,1,1,9670,1.0,0.8333333333333334,134.8,17-20,Graduate
7,13.214285714285714,7,13.214285714285714,119.3,136.0,1,1,0,18,0,0,1,1,1,1,8,8,8,8,1,1,9500,0.875,0.875,127.65,17-20,Graduate
0,7.399999999999999,0,6.874999999999999,130.2,133.0,0,1,0,19,0,0,1,1,1,1,6,6,6,0,1,2,9853,0.0,0.0,131.6,17-20,Dropout
6,10.571428571428571,5,11.0,111.8,110.0,1,1,0,21,0,0,42,53,1,1,6,7,6,8,1,1,9254,1.0,0.8333333333333334,110.9,21-25,Graduate
4,13.25,5,12.0,137.1,149.0,1,1,0,18,0,0,1,1,1,1,5,7,5,5,1,1,9085,0.8,1.0,143.05,17-20,Graduate
5,13.2,0,6.874999999999999,120.7,127.0,0,1,0,20,0,0,1,1,1,1,6,6,6,7,1,1,9773,0.8333333333333334,0.0,123.85,17-20,Dropout
1,12.0,2,11.0,137.4,137.0,0,1,0,18,0,0,1,18,1,1,6,10,6,14,1,1,9238,0.1666666666666666,0.3333333333333333,137.2,17-20,Enrolled
7,13.30625,8,14.545,127.3,135.0,0,1,0,18,0,0,1,17,1,1,7,8,8,8,1,2,9500,1.0,1.0,131.15,17-20,Graduate
4,12.5,4,12.25,136.3,137.0,0,1,0,20,0,0,1,1,1,1,5,8,5,8,1,1,9130,0.8,0.8,136.65,17-20,Graduate
6,11.666666666666666,6,13.5,124.6,140.0,0,1,0,18,0,0,1,1,1,1,7,7,7,8,1,1,9853,0.8571428571428571,0.8571428571428571,132.3,17-20,Enrolled
0,7.399999999999999,0,6.874999999999999,120.3,122.0,1,1,0,21,0,0,1,1,1,0,2,0,2,0,1,3,8378,0.0,0.0,121.15,21-25,Graduate
7,11.4375,8,11.425,121.8,127.0,0,1,0,20,0,0,1,18,1,1,7,14,8,9,1,3,9556,1.0,1.0,124.4,17-20,Enrolled
7,12.857142857142858,7,12.857142857142858,125.5,142.0,0,1,0,18,0,0,1,1,1,1,8,12,8,12,1,3,9500,0.875,0.875,133.75,17-20,Graduate
6,13.375,6,12.285714285714286,114.9,125.0,1,1,0,19,0,0,1,1,1,1,6,8,6,7,1,3,9670,1.0,1.0,119.95,17-20,Graduate
6,13.296666666666669,7,14.114285714285714,123.9,126.0,0,1,0,19,0,0,1,1,1,0,7,8,8,9,1,1,9500,0.8571428571428571,0.875,124.95,17-20,Graduate
5,11.6,4,11.0,157.0,151.0,1,1,1,18,0,0,1,1,1,1,6,8,6,12,1,1,9238,0.8333333333333334,0.6666666666666666,154.0,17-20,Enrolled
6,11.375,6,13.285714285714286,116.4,115.0,0,1,0,21,0,0,1,17,1,1,6,9,6,9,1,2,9238,1.0,1.0,115.7,21-25,Graduate
